district_id,district,total_token,total_phone,reorder_payment_count
964,zahed-gilani,1825,1615,392
65,qeytariyeh,96764,85346,66790
191,ebrahim-abad,1509,1465,360
1010,moqadam,862,813,68
418,,48891,41905,29514
270,hashem-abad,5132,4839,1394
293,qasr-e-firoozeh-yek,39,39,1
938,bahar,13990,12848,7159
243,moshiriyeh,14789,13429,1951
278,moniriyeh,12588,11667,4659
54,darband,7316,6974,4194
926,sepehr,2219,2072,1092
965,parastar,6605,6030,1932
277,amiriyeh,16889,15080,5315
287,emam-hossein,9421,8683,2462
656,shadman,9374,8731,5823
112,estakhr,9487,8719,2896
113,shahrak-e-omid,648,626,255
155,shahr-e-ziba,54488,48239,49516
167,ekbatan,12526,11097,5560
299,,8610,7918,4089
241,shahrak-e-kianshahr,12676,11139,1402
198,azari,13934,12138,2613
130,heshamatiyeh,7635,7026,3051
196,jey,28134,25693,12280
932,shahrak-valfajr,302,286,243
427,,157357,142835,59315
184,kooye-e-hefdahom-e-shahrivar,2568,2427,690
939,niloufar,5337,4949,2573
188,khalij-e-fars,14611,13705,2615
399,narmak,75841,66842,37316
126,majidiyeh,26254,23921,9458
202,sharara,12679,11644,11108
228,south-deylaman,8400,7732,1457
262,nemat-abad,6377,6172,859
998,qalamestan,1084,951,256
50,shahrak-golha,703,667,261
94,jomhouri,13737,12578,7548
421,,23614,20633,11830
264,baq-e-azari,1045,1004,104
961,qasemabad,2158,1960,467
638,,65919,61362,9749
110,majid-abad,2423,2067,636
190,shahrak-e-emamkhomeyni,693,669,100
275,gomrok,13863,12486,4406
57,evin,4658,4380,2371
936,nejatollahi,3234,3036,1449
1002,hashemi,12631,10903,3703
963,shahid-asadi,1778,1099,115
909,kuhak,17851,15829,6083
1025,tehran-hosein-abad,3144,2903,1135
43,kashanak,3574,3456,1413
420,,185580,162200,181979
84,zargandeh,2927,2785,1621
212,shahrak-e-shahid-mofateh,3302,2931,1469
970,sarasiab-doolab,2559,2206,366
958,khaje-nezam-molk,13224,11675,5507
119,haft-hoz,6788,6069,2965
974,aref,2617,2460,478
187,shahrak-e-taleghani,1595,1517,184
201,tehranvila,4982,4725,4622
232,mansouriyeh,1674,1592,210
990,etehad,834,806,149
962,dehqan,1891,1662,257
966,taxirani,1293,1130,161
203,tohid,7304,6811,4902
116,elm-o-sanat,6688,5740,1909
145,north-janat-abad,47836,44557,30991
948,khak-sefid,5612,4942,698
1021,imamzadeh-hasan,4837,4620,1613
157,sazman-ab,4056,3885,2263
181,,1,1,0
1016,tayeb,3763,3572,1085
95,seyed-khandan,24577,21938,12963
227,zahir-abad,1418,1352,185
268,zehtabi,2097,1973,492
925,aseman,3031,2833,1513
912,fath,1807,1668,1053
915,shamshiri,1341,1232,270
71,darrous,51942,45472,33927
143,almahdi,4342,3928,2165
161,dehkade-olympic,15995,14038,7585
193,shaharak-e-moslemin,776,736,84
68,ekhtiyariyeh,31371,28739,20654
1012,golchin,897,856,84
72,zafar,29444,26528,23509
87,ararat,1654,1578,1118
58,darakeh,5357,5038,2888
255,khani-abad,4944,4383,2234
221,shahr-e-rey,12286,9703,7710
266,molavi,11473,10675,5419
271,shahrak-e-amiralmomenin,30,30,0
997,kosar,2177,2032,259
424,,43259,41181,6724
920,bagh-feyz,39749,35512,23306
968,shiva,2686,2307,450
63,chizar,3297,3154,1656
158,sazamn-barnameh,44544,40787,30772
933,jahad,991,954,295
959,tehran-police,9040,8288,4783
51,shahrak-e-mahalati,4745,4321,3313
56,zafaraniyeh,108221,91702,53464
178,tehransar,53847,48219,15541
234,malek-abad,335,328,66
279,sanglaj,4881,4345,1313
52,sohanak,13440,12413,8132
146,central-janat-abad,88593,80844,75944
174,hasan-abad-shomali,5292,5061,3308
946,sorkhe-hesar,1268,1213,181
170,kooy-e-ferdos,155043,131154,103026
209,tehran-university,1564,1487,1007
103,shian,4612,4086,1516
236,shahrak-e-takhti,1411,1358,174
253,khazaneh,9845,9027,1680
989,khani-abad-no,13333,12367,2108
276,amir-bahador,5863,5150,1249
139,marzdaran,82019,69449,71629
246,masoudieh,17113,15396,2934
977,shahadat,1470,1373,194
1009,zamzam,3947,3730,1065
907,abshar-tehran,8992,8299,2533
88,gisha,37844,31004,44837
208,bolvar-e-keshavarz,7345,6959,4597
248,qasr-e-firooze-do,67,53,2
257,shaharak-e-shariyati,12185,10879,2188
138,,3185,2995,1858
637,,7654,7292,2019
235,south-ali-abad,4984,4755,718
307,shahrak-e-ghazali,256,239,59
928,university-of-sharif,2684,2479,801
115,oghaf,18630,15769,5374
153,kan,6391,5804,2530
96,gandi,4975,4700,4783
250,yakhchi-abad,5254,4983,635
929,darya,2850,2670,1526
185,shahrak-e-ferdows,3680,3463,733
104,lavizan,6523,5920,1595
219,karim-abad,653,619,211
944,kuy-nobonyad,498,472,642
978,safaiye,1640,1575,189
214,mobarak-abad-e-beheshti,7485,6406,1491
1024,heravi,55025,45257,26621
252,nazi-abad,22123,19852,4385
419,,33128,31009,9005
120,fadak,3689,3239,856
945,tehran-kerman,10800,9480,3293
923,kuy-faraz,2153,2078,1416
975,mina,2968,2704,463
1000,,5495,4881,1959
128,kazem-abad,4228,3677,1261
197,beryanak,47629,42354,19503
911,shahrak-farhangian,337,332,47
85,elahiyeh,89509,71674,83011
106,shemiran-no,10039,8977,1422
301,arjantin,11983,10860,7385
950,sabalan,18152,16603,6654
179,shahrak-e-darya,880,839,571
306,chitgar,80917,66286,45315
1023,shahid-borujerdi,831,790,159
48,aghdasieh,45628,41833,26957
67,pasdaran,107669,92772,64488
224,shahrak-e-rezvan,3832,3578,621
953,tehran-emamat,3430,3077,788
673,,12692,11483,6872
168,kooy-e-bimeh,6480,5835,2529
254,bahman-yar,1095,1053,116
927,eivanak,1031,994,572
992,abshar,7129,6692,1298
105,ghanat-kosar,7287,6235,1505
131,aramaneh,6085,5169,1828
1013,jalili,1197,1107,98
654,azarbaijan,34700,31816,20397
993,aminhozour,1699,1612,511
108,west-tehranpars,85709,76079,36697
934,tavanir,4893,4544,4148
44,jamaran,1850,1789,784
132,nezam-abad,19567,17712,6423
947,javadiyeh-tehran-pars,5527,4746,1228
123,tehran-no,17330,15622,4415
127,dabestan,5365,4900,2058
951,ashtiyani,1859,1700,402
1007,bolursazi,3787,3534,736
1011,tous,4460,4241,2339
210,north-karegar,21099,19387,11883
205,sattarkhan,60551,53793,55759
994,ferdowsi,5420,5135,2658
981,abbas-abad-rey,3853,3624,977
220,abdol-abad,6505,6176,739
249,afsariyeh,34106,30457,7147
61,tajrish,20157,18161,11215
940,darb-dowom,2861,2711,1832
988,firoozabadi,2107,1998,296
995,qiam,3190,3042,1059
1005,soleymani,7398,6450,1923
192,yaftabad,17900,16923,5602
921,shahrak-naft-district5,8379,7950,5169
653,,185198,159455,70226
156,andisheh,129444,99367,34787
160,eram,7806,7275,3083
283,eskandari,8769,8040,3419
941,qoba,3803,3622,1760
957,east-shareq,2189,1868,467
979,ebn-babevayh,1923,1829,203
982,shahid-avini,1080,1032,351
206,baqerkhan,4545,4265,2123
292,pirouzi,87412,77753,37853
919,tehran-hesarak,1855,1705,397
200,daryan-no,7446,7023,6257
655,enqelab,9384,8839,5737
952,hafezie,1422,1164,217
141,morad-abad,1148,1131,350
288,sheykh-al-raeis,2811,2628,477
942,hesar-booali,450,436,124
55,velenjak,73150,63585,33783
922,parvaz,705,680,416
943,araj,3528,3389,1788
74,mirdamad,54589,46906,42813
280,pamenar,1652,1576,451
996,sirous,884,847,182
62,kamraniyeh,24175,22724,14119
182,mehrabad-airport,164,159,289
658,valiasr,12575,11831,7543
186,south-mehrabad,15288,13978,4159
910,shahrak-pasdaran,407,395,183
171,tarasht,18205,16274,12577
290,soleymanieh,1577,1409,339
49,,6253,5729,2455
639,qiamdash,6505,6173,754
1034,sharif,3128,2846,743
1035,shirazi,1176,1107,810
166,shahrak-e-ansar,13,13,5
260,shaharak-e-sharifi,776,732,112
1001,tehran-zanjan,4828,4190,1457
1018,minabi,1952,1827,474
199,fallah,33058,30176,7573
269,vasfenard,2396,2269,367
66,dezashib,10998,10482,4711
154,baharan,1833,1740,500
265,javadiyeh,11644,10432,2516
1031,chitgar-lake,77561,59180,24766
657,jeyhoun,91252,79937,52587
162,shahrak-e-cheshmeh,1744,1640,490
954,south-narmak,8163,7279,2603
967,nabi-akram,2136,1750,313
164,shahrak-e-azadi,2948,2777,526
931,hekmat,3921,3782,1783
360,amaniyeh,3156,2884,2056
986,estakhr-rey,11974,11113,3112
134,niroo-havayi,28980,25508,8047
245,karevan,6249,5642,581
971,jaberi,559,469,60
1027,abdollah-abad,285,278,22
422,,14242,11612,7643
175,shaharak-e-esteqlal,901,871,475
426,,66866,62323,17549
914,sar-asiyab-mehr-abad,1437,1313,214
991,tehran-iran,4862,4492,1168
233,dolat-abad,16982,15551,2917
92,baharestan,8652,8002,2083
163,azadi-sport-complex,1311,1237,431
308,shahrak-e-vilashahr,895,823,88
930,bagh-ferdows,2054,1991,1343
118,dardasht,5241,4480,2452
272,doolab,5060,4409,758
916,tolid-daroo,5942,4964,1065
75,saadat-abad,308027,220740,330549
302,north-sohrevardi,68833,56517,45953
984,sartakht,989,969,226
172,sadeghiyeh,60332,53863,47905
78,shahrak-e-gharb,89214,75523,80965
924,hezarsang,252,238,103
973,saheb-al-zaman,2232,1952,337
955,zarkesh,2750,2478,898
1020,abouzar,14426,12975,2263
125,shams-abad,37215,32391,14082
140,shahrak-e-koohsar,1847,1603,728
298,iranshahr,6477,6076,2559
1015,bisim,2226,2134,433
289,sad-dastgah,2069,1772,434
983,sizdah-aban,4196,3953,651
913,saeed-abad,2396,2285,504
374,vardavard,12569,11341,4231
1014,imam-sajjad,798,761,115
935,nosrat,3282,3043,1111
216,hasan-abad-baqer-far,2493,2337,282
286,eshrat-abad,5678,5285,2002
999,salamat,1749,1463,349
173,aboozar,21107,19433,13349
194,shahrak-e-vali-e-asr,28361,25427,6159
59,farahzad,2157,2066,554
122,zeynabeiyeh,44,44,5
960,tehran-gorgan,9499,8579,3691
985,hamzeh-abad,2055,1966,265
1030,shahrak-shahid-bagheri,5671,5112,2254
313,,78364,71110,12911
81,vanak-village,1673,1568,469
165,west-shahrak-e-golestan,38946,33397,16530
315,vanak,40381,32224,27023
180,shahrak-e-aseman,38,36,8
195,ostad-moein,45267,39409,19871
82,poonak,241269,205487,196484
133,vahidiyeh,11601,10169,2356
980,taqiabad-rey,5577,5012,5413
42,niavaran,136006,120042,83708
151,north-shahran,37576,33884,22128
1028,tehran-jolfa,6891,6491,4401
90,yousef-abad,61144,49765,49342
159,shahrak-e-parvaz,4651,4296,2114
256,esfandyari,893,824,84
312,shahid-navab-safavi,35033,31181,18387
1029,dr-hoshyar,7525,7021,2890
425,,56296,53101,10931
297,behjat-abad,4023,3809,2058
117,sarsabz,2496,2211,686
291,farah-abad,2948,2721,438
1019,atabak,7623,7153,2650
121,hakimiyeh,27252,23393,7466
46,golab-dareh,1138,1080,269
217,baq-e-rezavan,98,95,84
284,sarsabil,50566,44820,25470
987,aqdasiyeh-rey,15445,14052,4606
1008,tehran-shandiz,1268,1221,255
70,gholhak,21765,20150,16106
300,abbas-abad,18928,16890,12100
1004,shabiri,2073,1736,1076
99,hassan-abad,3995,3672,587
937,tehran-khaghani,1461,1377,629
976,mesgar-abad,747,716,56
231,javanmard-e-ghasab,3327,3150,525
86,jordan,78095,62933,73967
109,east-tehranpars,76145,69274,30749
918,dolatkhah,2343,2245,259
1006,haftchenar,5191,4495,1266
60,mahmoodiyeh,14257,13517,5711
189,shadabad,9948,8952,2285
1026,east-saleh-abad,1220,1151,138
311,azad-shahr,5305,5010,1395
93,bazaar,12797,12314,3757
969,shokoofeh,5782,5454,1440
40,ajoodanieh,26190,24917,12852
204,jamalzadeh,9420,8620,4384
251,charsad-dastgah,5474,4236,1112
259,shahrak-e-aboozar,587,567,83
282,hor-square,5497,5091,2153
285,darvazeh-shemiran,8386,7375,2654
147,shahin,9739,8801,8507
908,havanirooz,2889,2736,1064
1032,shahrak-daneshgahi,67,67,19
240,shoosh,9636,9174,2220
263,eslam-abad,1734,1581,646
1003,shahid-dastgheyb,2709,2435,587
1017,khavaran,8962,8316,2718
64,farmaniyeh,106566,95376,68190
917,behdasht,1236,1161,164
1022,bagh-khazaneh,2196,2089,347
281,sheykh-hadi,3812,3441,1348
91,amir-abad,25820,22269,16761
152,south-shahran,38381,34506,24902
956,taslihat,5609,5002,1141
949,,3150,2638,457
45,emamzade-ghasem,1312,1231,444
47,darabad,9998,9448,4328
53,ozgol,18931,17275,10152
148,south-janat-abad,90951,82453,58288
972,shahed,1079,1037,140
169,shahrak-e-apadana,452,441,114
273,ahang,28432,26026,6378
1033,shahrak-daneshgah-tehran,1374,1331,317
211,qezel-qaleh,450,404,156
