district_id,Groups,district,name,region,Post_Price,total_users_hit,total_post_hit,total_users,total_post,total_avg_day_diff_posts,average_duration,average_click_post,districts_count,total_users_groups,total_post_groups,total_users_groups1,total_post_groups1
926,1,sepehr,سپهر,2,30,0.13,0.11,234,376,60.91666667,60.53717042,127.9450853,173,262728,772848,32850,88352
202,1,sharara,شهرآرا,2,45,0.13,0.11,936,2886,686.7048664,65.7823743,280.1092315,173,262728,772848,32850,88352
52,1,sohanak,سوهانک,1,45,0.13,0.11,1185,2880,657.2435977,60.83845406,233.2698931,173,262728,772848,32850,88352
944,1,kuy-nobonyad,کوی نوبنیاد,4,30,0.13,0.11,60,85,11,218.6842105,245.384058,173,262728,772848,32850,88352
911,1,shahrak-farhangian,شهرک فرهنگیان,21,35,0.13,0.11,58,71,0,23.96428571,146.4044118,173,262728,772848,32850,88352
179,1,shahrak-e-darya,شهرک دریا,21,35,0.13,0.11,120,196,13.5,56.1424581,183.4217901,173,262728,772848,32850,88352
48,1,aghdasieh,اقدسیه,1,45,0.13,0.11,3621,8579,1751.248529,66.18069455,213.7733452,173,262728,772848,32850,88352
934,1,tavanir,توانیر,6,40,0.13,0.11,444,1068,267.3936508,67.15251462,176.6739546,173,262728,772848,32850,88352
61,1,tajrish,تجریش,1,45,0.13,0.11,1877,3633,516.2561266,66.64251482,332.1362869,173,262728,772848,32850,88352
156,1,andisheh,اندیشه,5,30,0.13,0.11,8128,20581,4326.314761,33.92083534,225.6706726,173,262728,772848,32850,88352
62,1,kamraniyeh,کامرانیه,1,45,0.13,0.11,2254,4164,605.875974,67.2896165,214.1782905,173,262728,772848,32850,88352
172,1,sadeghiyeh,صادقیه,2,35,0.13,0.11,4775,12859,3068.698641,63.08089218,294.231392,173,262728,772848,32850,88352
140,1,shahrak-e-koohsar,شهرک کوهسار,5,30,0.13,0.11,221,335,40,40.14252525,203.1170968,173,262728,772848,32850,88352
90,1,yousef-abad,یوسف‌آباد,6,30,0.13,0.11,2505,11391,3127.677513,72.27703399,275.9703836,173,262728,772848,32850,88352
147,1,shahin,شاهین,5,45,0.13,0.11,969,1906,371.2838979,61.48569604,206.509409,173,262728,772848,32850,88352
148,1,south-janat-abad,جنت‌آباد جنوبی,5,35,0.13,0.11,5463,17342,5059.828294,58.59381931,278.2349779,173,262728,772848,32850,88352
262,2,nemat-abad,نعمت‌آباد,19,35,0.1,0.08,1016,1568,121.3333333,23.06913817,193.6464006,80,84881,183400,8603,15535
986,2,estakhr-rey,شهر ری - استخر,20,35,0.1,0.08,1701,3016,434.8666667,30.53696044,245.8172106,80,84881,183400,8603,15535
232,2,mansouriyeh,منصوریه (پل سیمان),20,35,0.1,0.08,251,383,59.71666667,22.86360119,138.4802694,80,84881,183400,8603,15535
1005,2,soleymani,سلیمانی,10,40,0.1,0.08,961,1454,172.0571429,33.0153308,231.6362614,80,84881,183400,8603,15535
195,2,ostad-moein,استاد معین,9,40,0.1,0.08,2913,6312,1277.642958,53.480218,432.0164273,80,84881,183400,8603,15535
980,2,taqiabad-rey,شهر ری - تقی‌آباد,20,40,0.1,0.08,774,1185,123.7383041,32.88110266,203.5141346,80,84881,183400,8603,15535
1003,2,shahid-dastgheyb,شهید دستغیب,9,35,0.1,0.08,376,529,68.96666667,30.28164557,194.6265438,80,84881,183400,8603,15535
118,2,dardasht,دردشت,8,30,0.1,0.08,611,1088,134.4701521,40.07362723,239.9753103,80,84881,183400,8603,15535
998,3,qalamestan,قلمستان,11,35,0.13,0.13,152,190,3,24.4375,166.3181818,96,80862,148417,10468,19552
264,3,baq-e-azari,باغ آذری,16,40,0.13,0.13,182,263,33,25.8822314,133.3333333,96,80862,148417,10468,19552
246,3,masoudieh,مسعودیه,15,35,0.13,0.13,2165,4241,710.3757576,22.55333891,314.7701959,96,80862,148417,10468,19552
290,3,soleymanieh,دلگشا,14,40,0.21,0.21,238,344,17,29.59118541,206.3552632,96,80857,148409,17278,30725
913,3,saeed-abad,سعیدآباد,18,30,0.13,0.13,369,606,65.38461538,32.77361974,153.25893,96,80862,148417,10468,19552
277,3,amiriyeh,امیریه,11,35,0.13,0.13,1798,4328,960.4082191,34.14210908,314.316735,96,80862,148417,10468,19552
1016,3,tayeb,طیب,15,30,0.13,0.13,582,984,119.047619,36.02447248,225.7001263,96,80862,148417,10468,19552
1013,3,jalili,جلیلی,17,30,0.13,0.13,189,279,16,19.98571984,133.4363636,96,80862,148417,10468,19552
253,3,khazaneh,خزانه,16,40,0.13,0.13,1223,2372,352.0704878,23.18294865,294.6157094,96,80862,148417,10468,19552
917,3,behdasht,بهداشت,18,30,0.13,0.13,206,310,33.5,28.41199301,124.457621,96,80862,148417,10468,19552
996,3,sirous,سیروس,12,35,0.13,0.13,158,229,17.66666667,32.38551402,159.5,96,80862,148417,10468,19552
1015,3,bisim,بیسیم,15,40,0.13,0.13,378,609,51.7,24.29733583,203.8770502,96,80862,148417,10468,19552
291,3,farah-abad,ائمه اطهار,14,40,0.13,0.13,405,574,37.25,22.70722846,166.1309711,96,80862,148417,10468,19552
1019,3,atabak,اتابک,15,40,0.13,0.13,1148,2072,292.8119048,34.11033408,278.6186658,96,80862,148417,10468,19552
240,3,shoosh,شوش,15,35,0.13,0.13,1453,2425,289.7333333,30.52856099,204.4971736,96,80862,148417,10468,19552